Local_alignment_Tm	Gap_adjusted_end_filling_Tm
55.14	44.28
55.14	40.91
55.14	44.28
46.04	-30.74
55.14	42.54
55.14	44.28
55.14	44.28
55.14	44.28
55.14	44.28
53.97	-32.48
54.38	-86.58
48.49	-52.78
53.97	-32.48
45.38	-30.87
48.92	-20.66
56.21	40.74
56.21	40.74
54.52	29.52
54.52	23.29
56.21	31.68
56.21	40.74
54.52	23.29
54.85	15.22
54.85	11
54.52	23.29
55.47	-91.47
54.85	11
54.85	15.22
54.52	23.29
54.85	20.8
54.85	11
54.85	11
54.85	20.8
56.21	31.68
55.24	21.37
60.12	28.85
60.12	28.85
58.23	36.46
58.23	36.46
65.6	46.71
53.09	34.89
55.68	-18.06
52.81	-34.91
46.04	-28.43
56.71	-7.43
55.65	40.65
46.04	-34.92
55.47	-36.51
56.78	35.37
53.1	-18.93
53.1	-18.93
56.63	29.22
57.64	36.04
53.84	-37.41
54.74	-59.55
50.74	29.97
58.87	43.31
52.06	-22.87
53.81	-28.84
59.27	38.13
58.87	41.75
51.23	10.05
53.81	-22.43
52.06	-11.57
58.85	25.71
55.47	-37.45
53.73	26.19
56.49	1.06
60.6	14.94
56	18.33
56.17	13.1
63.52	-6.78
55.73	-24.39
55.73	-24.39
58.91	-10.75
56.36	-50.17
58.65	29.06
58.65	29.06
62.32	1.54
55.73	-26.33
55.73	-26.33
54.48	-33.2
60.13	18.55
57.49	17.16
53.65	-41.09
62.11	-15.98
51.12	23
54.62	0.73
55.52	-16.45
58.91	4.03
53.87	-26.06
59.36	12.07
59.36	29.57
61.52	22.34
61.52	37.21
54.71	-67.7
56.09	14.17
46.21	-66.12
50.87	8.85
61.79	49.5
56.67	42.22
56.67	42.22
58.03	39.86
61.79	49.5
58.81	-18.68
56.96	28.38
57.52	-15.83
56.17	12.47
49.37	24.82
55.86	19.69
61.79	49.38
58.03	39.58
61.79	49.38
58.81	-23.96
56.96	29.89
57.52	-24.85
54.61	34.51
54.37	-137.89
58.36	33.81
49.84	25.43
49.84	21.48
49.84	25.43
49.84	25.43
59.63	-34.11
58.04	-40.15
59.02	-5.21
59.02	-5.21
59.02	-5.21
52.06	-12.43
57.6	48.14
52.06	-12.35
60.19	18.81
58.88	1.93
56.62	-20.16
57.39	-12.75
57.27	-29.32
49.69	-14.46
52.28	-42.19
55.97	-3.49
39.5	-102.69
53.52	-94.21
54.26	-23.89
54.26	-16.27
56.13	-37.91
54.28	-35.25
50.54	-40.46
56.71	37.09
56.88	38.45
53.84	-33.84
54.74	-33.66
53.4	-28.13
50.74	26.11
47.59	27.3
51	-47.37
51	-47.37
52.81	-17.11
48.66	-16.56
56.71	-11.62
55.14	47.08
55.65	38.91
55.14	47.08
55.14	47.08
55.14	40.57
55.14	47.08
46.04	-19.77
55.14	45.49
55.14	47.08
55.14	47.08
55.14	47.08
55.14	47.08
48.82	10.97
53.97	40.42
53.97	40.42
58.23	32.13
58.23	32.13
60.6	14.24
56	17.68
46.73	15.05
46.73	15.05
46.73	15.05
46.73	15.05
46.73	11.39
46.73	15.05
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.92	22.56
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	18.77
58.14	36.33
54.54	30.92
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
54.05	20.52
49.37	19.37
55.86	18.34
55.73	-20.24
63.52	-0.02
55.73	-20.24
55.73	-20.24
55.74	-7.76
58.91	-1.57
55.73	-20.24
56.36	-29.28
53.84	-23.39
54.74	-32.83
53.4	-27.3
50.74	30.91
53.09	31.58
55.68	-32.62
62.93	-99.25
63.74	-22.3
58.71	-32.28
63.74	-19.09
55.96	29.67
58.87	41.73
53.81	-31.82
52.06	-32.26
51.06	-67.02
45.45	30.25
46.52	-55.17
56.88	36.03
55.54	-18.24
57.52	-44.48
57.07	31.05
54.32	-70.89
